MEDELLIN;ANTIOQUIA;05001
ABEJORRAL;ANTIOQUIA;05002
ABRIAQUI;ANTIOQUIA;05004
ALEJANDRIA;ANTIOQUIA;05021
AMAGA;ANTIOQUIA;05030
AMALFI;ANTIOQUIA;05031
ANDES;ANTIOQUIA;05034
ANGELOPOLIS;ANTIOQUIA;05036
ANGOSTURA;ANTIOQUIA;05038
ANORI;ANTIOQUIA;05040
SANTAFE DE ANTIOQUIA;ANTIOQUIA;05042
ANZA;ANTIOQUIA;05044
APARTADO;ANTIOQUIA;05045
ARBOLETES;ANTIOQUIA;05051
ARGELIA;ANTIOQUIA;05055
ARMENIA;ANTIOQUIA;05059
BARBOSA;ANTIOQUIA;05079
BELMIRA;ANTIOQUIA;05086
BELLO;ANTIOQUIA;05088
BETANIA;ANTIOQUIA;05091
BETULIA;ANTIOQUIA;05093
CIUDAD BOLIVAR;ANTIOQUIA;05101
BRICEÑO;ANTIOQUIA;05107
BURITICA;ANTIOQUIA;05113
CACERES;ANTIOQUIA;05120
CAICEDO;ANTIOQUIA;05125
CALDAS;ANTIOQUIA;05129
CAMPAMENTO;ANTIOQUIA;05134
CAÑASGORDAS;ANTIOQUIA;05138
CARACOLI;ANTIOQUIA;05142
CARAMANTA;ANTIOQUIA;05145
CAREPA;ANTIOQUIA;05147
EL CARMEN DE VIBORAL;ANTIOQUIA;05148
CAROLINA;ANTIOQUIA;05150
CAUCASIA;ANTIOQUIA;05154
CHIGORODO;ANTIOQUIA;05172
CISNEROS;ANTIOQUIA;05190
COCORNA;ANTIOQUIA;05197
CONCEPCION;ANTIOQUIA;05206
CONCORDIA;ANTIOQUIA;05209
COPACABANA;ANTIOQUIA;05212
DABEIBA;ANTIOQUIA;05234
DON MATIAS;ANTIOQUIA;05237
EBEJICO;ANTIOQUIA;05240
EL BAGRE;ANTIOQUIA;05250
ENTRERRIOS;ANTIOQUIA;05264
ENVIGADO;ANTIOQUIA;05266
FREDONIA;ANTIOQUIA;05282
FRONTINO;ANTIOQUIA;05284
GIRALDO;ANTIOQUIA;05306
GIRARDOTA;ANTIOQUIA;05308
GOMEZ PLATA;ANTIOQUIA;05310
GRANADA;ANTIOQUIA;05313
GUADALUPE;ANTIOQUIA;05315
GUARNE;ANTIOQUIA;05318
GUATAPE;ANTIOQUIA;05321
HELICONIA;ANTIOQUIA;05347
HISPANIA;ANTIOQUIA;05353
ITAGUI;ANTIOQUIA;05360
ITUANGO;ANTIOQUIA;05361
JARDIN;ANTIOQUIA;05364
JERICO;ANTIOQUIA;05368
LA CEJA;ANTIOQUIA;05376
LA ESTRELLA;ANTIOQUIA;05380
LA PINTADA;ANTIOQUIA;05390
LA UNION;ANTIOQUIA;05400
LIBORINA;ANTIOQUIA;05411
MACEO;ANTIOQUIA;05425
MARINILLA;ANTIOQUIA;05440
MONTEBELLO;ANTIOQUIA;05467
MURINDO;ANTIOQUIA;05475
MUTATA;ANTIOQUIA;05480
NARIÑO;ANTIOQUIA;05483
NECOCLI;ANTIOQUIA;05490
NECHI;ANTIOQUIA;05495
OLAYA;ANTIOQUIA;05501
PEÐOL;ANTIOQUIA;05541
PEQUE;ANTIOQUIA;05543
PUEBLORRICO;ANTIOQUIA;05576
PUERTO BERRIO;ANTIOQUIA;05579
PUERTO NARE;ANTIOQUIA;05585
PUERTO TRIUNFO;ANTIOQUIA;05591
REMEDIOS;ANTIOQUIA;05604
RETIRO;ANTIOQUIA;05607
RIONEGRO;ANTIOQUIA;05615
SABANALARGA;ANTIOQUIA;05628
SABANETA;ANTIOQUIA;05631
SALGAR;ANTIOQUIA;05642
SAN ANDRES DE CUERQUIA;ANTIOQUIA;05647
SAN CARLOS;ANTIOQUIA;05649
SAN FRANCISCO;ANTIOQUIA;05652
SAN JERONIMO;ANTIOQUIA;05656
SAN JOSE DE LA MONTAÑA;ANTIOQUIA;05658
SAN JUAN DE URABA;ANTIOQUIA;05659
SAN LUIS;ANTIOQUIA;05660
SAN PEDRO;ANTIOQUIA;05664
SAN PEDRO DE URABA;ANTIOQUIA;05665
SAN RAFAEL;ANTIOQUIA;05667
SAN ROQUE;ANTIOQUIA;05670
SAN VICENTE;ANTIOQUIA;05674
SANTA BARBARA;ANTIOQUIA;05679
SANTA ROSA DE OSOS;ANTIOQUIA;05686
SANTO DOMINGO;ANTIOQUIA;05690
EL SANTUARIO;ANTIOQUIA;05697
SEGOVIA;ANTIOQUIA;05736
SONSON;ANTIOQUIA;05756
SOPETRAN;ANTIOQUIA;05761
TAMESIS;ANTIOQUIA;05789
TARAZA;ANTIOQUIA;05790
TARSO;ANTIOQUIA;05792
TITIRIBI;ANTIOQUIA;05809
TOLEDO;ANTIOQUIA;05819
TURBO;ANTIOQUIA;05837
URAMITA;ANTIOQUIA;05842
URRAO;ANTIOQUIA;05847
VALDIVIA;ANTIOQUIA;05854
VALPARAISO;ANTIOQUIA;05856
VEGACHI;ANTIOQUIA;05858
VENECIA;ANTIOQUIA;05861
VIGIA DEL FUERTE;ANTIOQUIA;05873
YALI;ANTIOQUIA;05885
YARUMAL;ANTIOQUIA;05887
YOLOMBO;ANTIOQUIA;05890
YONDO;ANTIOQUIA;05893
ZARAGOZA;ANTIOQUIA;05895
BARRANQUILLA;ATLANTICO;08001
BARANOA;ATLANTICO;08078
CAMPO DE LA CRUZ;ATLANTICO;08137
CANDELARIA;ATLANTICO;08141
GALAPA;ATLANTICO;08296
JUAN DE ACOSTA;ATLANTICO;08372
LURUACO;ATLANTICO;08421
MALAMBO;ATLANTICO;08433
MANATI;ATLANTICO;08436
PALMAR DE VARELA;ATLANTICO;08520
PIOJO;ATLANTICO;08549
POLONUEVO;ATLANTICO;08558
PONEDERA;ATLANTICO;08560
PUERTO COLOMBIA;ATLANTICO;08573
REPELON;ATLANTICO;08606
SABANAGRANDE;ATLANTICO;08634
SABANALARGA;ATLANTICO;08638
SANTA LUCIA;ATLANTICO;08675
SANTO TOMAS;ATLANTICO;08685
SOLEDAD;ATLANTICO;08758
SUAN;ATLANTICO;08770
TUBARA;ATLANTICO;08832
USIACURI;ATLANTICO;08849
BOGOTA, D.C.;BOGOTA;11001
CARTAGENA;BOLIVAR;13001
ACHI;BOLIVAR;13006
ALTOS DEL ROSARIO;BOLIVAR;13030
ARENAL;BOLIVAR;13042
ARJONA;BOLIVAR;13052
ARROYOHONDO;BOLIVAR;13062
BARRANCO DE LOBA;BOLIVAR;13074
CALAMAR;BOLIVAR;13140
CANTAGALLO;BOLIVAR;13160
CICUCO;BOLIVAR;13188
CORDOBA;BOLIVAR;13212
CLEMENCIA;BOLIVAR;13222
EL CARMEN DE BOLIVAR;BOLIVAR;13244
EL GUAMO;BOLIVAR;13248
EL PEÑON;BOLIVAR;13268
HATILLO DE LOBA;BOLIVAR;13300
MAGANGUE;BOLIVAR;13430
MAHATES;BOLIVAR;13433
MARGARITA;BOLIVAR;13440
MARIA LA BAJA;BOLIVAR;13442
MONTECRISTO;BOLIVAR;13458
MOMPOS;BOLIVAR;13468
NOROSI;BOLIVAR;13490
MORALES;BOLIVAR;13473
PINILLOS;BOLIVAR;13549
REGIDOR;BOLIVAR;13580
RIO VIEJO;BOLIVAR;13600
SAN CRISTOBAL;BOLIVAR;13620
SAN ESTANISLAO;BOLIVAR;13647
SAN FERNANDO;BOLIVAR;13650
SAN JACINTO;BOLIVAR;13654
SAN JACINTO DEL CAUCA;BOLIVAR;13655
SAN JUAN NEPOMUCENO;BOLIVAR;13657
SAN MARTIN DE LOBA;BOLIVAR;13667
SAN PABLO;BOLIVAR;13670
SANTA CATALINA;BOLIVAR;13673
SANTA ROSA;BOLIVAR;13683
